[2026-01-02 20:35:45.795] [20:35:45] 🗑 CANDIDATE: ID=1210485, Cat=Generic Models, Fam=RectangularOpeningOnWall, MepCat='Ducts' (Source=DB), Target=Ducts

[2026-01-02 20:35:45.801] [20:35:45] 🗑 CANDIDATE: ID=1210492, Cat=Generic Models, Fam=RectangularOpeningOnWall, MepCat='Ducts' (Source=DB), Target=Ducts

[2026-01-02 20:35:45.803] [20:35:45] 🗑 CANDIDATE: ID=1210499, Cat=Generic Models, Fam=RectangularOpeningOnWall, MepCat='Ducts' (Source=DB), Target=Ducts

[2026-01-02 20:35:45.805] [20:35:45] 🗑 CANDIDATE: ID=1210506, Cat=Generic Models, Fam=RectangularOpeningOnWall, MepCat='Ducts' (Source=DB), Target=Ducts

[2026-01-02 20:35:45.809] [20:35:45] 🗑 CANDIDATE: ID=1210534, Cat=Generic Models, Fam=RectangularOpeningOnWall, MepCat='Ducts' (Source=DB), Target=Ducts

[2026-01-02 20:35:45.812] [20:35:45] 🗑 CANDIDATE: ID=1210541, Cat=Generic Models, Fam=RectangularOpeningOnWall, MepCat='Ducts' (Source=DB), Target=Ducts

[2026-01-02 20:35:45.813] [20:35:45] 🗑 CANDIDATE: ID=1210583, Cat=Generic Models, Fam=RectangularOpeningOnWall, MepCat='Ducts' (Source=DB), Target=Ducts

[2026-01-02 20:35:45.818] [20:35:45] 🗑 CANDIDATE: ID=1210590, Cat=Generic Models, Fam=RectangularOpeningOnWall, MepCat='Ducts' (Source=DB), Target=Ducts

[2026-01-02 20:35:45.822] [20:35:45] 🗑 CANDIDATE: ID=1210604, Cat=Generic Models, Fam=RectangularOpeningOnWall, MepCat='Ducts' (Source=DB), Target=Ducts

[2026-01-02 20:35:45.826] [20:35:45] 🗑 CANDIDATE: ID=1210611, Cat=Generic Models, Fam=RectangularOpeningOnWall, MepCat='Ducts' (Source=DB), Target=Ducts

[2026-01-02 20:35:45.828] [20:35:45] 🗑 CANDIDATE: ID=1210618, Cat=Generic Models, Fam=RectangularOpeningOnWall, MepCat='Ducts' (Source=DB), Target=Ducts

[2026-01-02 20:35:45.830] [20:35:45] 🗑 CANDIDATE: ID=1210656, Cat=Generic Models, Fam=RectangularOpeningOnWall, MepCat='' (Source=Param), Target=Ducts

[2026-01-02 20:35:45.832] [20:35:45] 🗑 CANDIDATE: ID=1210665, Cat=Generic Models, Fam=RectangularOpeningOnWall, MepCat='' (Source=Param), Target=Ducts

[2026-01-02 20:35:45.834] [20:35:45] 🗑 CANDIDATE: ID=1210672, Cat=Generic Models, Fam=RectangularOpeningOnWall, MepCat='' (Source=Param), Target=Ducts

[2026-01-02 20:35:45.835] [20:35:45] 🗑 CANDIDATE: ID=1210679, Cat=Generic Models, Fam=RectangularOpeningOnWall, MepCat='' (Source=Param), Target=Ducts

[2026-01-02 20:35:45.837] [20:35:45] 🗑 CANDIDATE: ID=1210686, Cat=Generic Models, Fam=RectangularOpeningOnWall, MepCat='' (Source=Param), Target=Ducts

