[18:56:03] [PERSIST-ENTRY] Zones=164, Filter='Ventilation', Sample=[e1c56fb3-497e-3fc6-2b19-9eae0afb3e43:-1, b44efdd4-cff3-bdb2-e613-aa0152d26b9c:-1, ff57fa7a-f2fe-8322-800a-c08f64ef7fa9:-1, 23970e7f-c4be-e0c0-13ca-aa5427283ab4:-1, db86329e-1010-2021-a4c3-2b9e3e98021a:-1, 6c8919ef-e5a7-bb03-804e-7efc809efd31:-1, 30808e2b-18c0-40db-60c3-4208b93ac49e:-1, 9667d7af-c804-6638-2d1f-2bb2ba594bd2:-1, d9e8bf24-9286-d77b-ccc0-bc5761bca43b:-1, 676553f7-90df-acaa-c34a-d456a4598c02:-1]
[18:56:04] [PERSIST-CATEGORY] Category='Pipes', Filter='Ventilation', Zones=77
[18:56:04] [PERSIST-CATEGORY] Category='Ducts', Filter='Ventilation', Zones=32
[18:56:04] [PERSIST-CATEGORY] Category='Cable Trays', Filter='Ventilation', Zones=34
[18:56:04] [PERSIST-CATEGORY] Category='Duct Accessories', Filter='Ventilation', Zones=21
[2026-01-08 18:56:05.132] [18:56:05.132] [DB-LOAD] Zone 30808e2b-18c0-40db-60c3-4208b93ac49e: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.179] [18:56:05.178] [DB-LOAD] Zone 6c8919ef-e5a7-bb03-804e-7efc809efd31: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.182] [18:56:05.181] [DB-LOAD] Zone db86329e-1010-2021-a4c3-2b9e3e98021a: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.185] [18:56:05.185] [DB-LOAD] Zone 3674d177-7325-2b17-7e42-c79460bffd18: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.189] [18:56:05.188] [DB-LOAD] Zone 23970e7f-c4be-e0c0-13ca-aa5427283ab4: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.193] [18:56:05.192] [DB-LOAD] Zone 0d5bc810-bfb7-4bbb-2444-fa26b583ed82: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.196] [18:56:05.195] [DB-LOAD] Zone 049cd767-5dd6-cd86-93b1-07e9c5e91455: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.198] [18:56:05.198] [DB-LOAD] Zone e90a7cb6-bade-a0dc-0741-e6a350974656: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.202] [18:56:05.201] [DB-LOAD] Zone 720e069c-a6a6-25fe-1056-445e5f0e7aac: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.205] [18:56:05.204] [DB-LOAD] Zone 2031e5e3-284f-f716-e3f7-64ce8a6a00c9: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.208] [18:56:05.207] [DB-LOAD] Zone edfd5dca-bdac-8a33-7ce4-78d2ff0b0cb4: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.211] [18:56:05.211] [DB-LOAD] Zone a60cfb2c-6455-8967-4840-eaab7e13bdc5: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.215] [18:56:05.214] [DB-LOAD] Zone df7fc73d-898f-9c2d-29b7-0c673b9b8c64: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.219] [18:56:05.217] [DB-LOAD] Zone 9054642b-26fd-79c7-2d65-3ab037771243: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.221] [18:56:05.221] [DB-LOAD] Zone ee69ca6f-52c2-6f16-eeb5-4979293fd1e6: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.224] [18:56:05.224] [DB-LOAD] Zone 4612b4a1-47a1-7f6f-ea88-026a27fa7306: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.228] [18:56:05.228] [DB-LOAD] Zone 2f42e50d-1cb7-bada-bf28-cbf51613127c: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.231] [18:56:05.231] [DB-LOAD] Zone 363e1e69-df82-afc0-35cf-7e581427fe6c: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.234] [18:56:05.234] [DB-LOAD] Zone 4ba2528b-206d-4e2b-4e63-10884e30b209: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.238] [18:56:05.237] [DB-LOAD] Zone b375875a-240b-b59a-2b68-bbf300a9145d: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.259] [18:56:05.258] [DB-LOAD] Zone c2d60296-f2a7-fa6d-665e-941f035331b6: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.262] [18:56:05.261] [DB-LOAD] Zone 661b5e54-02f1-b59b-07f2-b22b7fbdb183: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.265] [18:56:05.264] [DB-LOAD] Zone 091186e8-2ce9-f546-bf55-e9084850265e: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.268] [18:56:05.267] [DB-LOAD] Zone 3f3107a3-1ff4-60f2-bebc-a52a386aa2e0: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.271] [18:56:05.271] [DB-LOAD] Zone e83315b6-5ebf-60fb-5a98-11b4612eb77f: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.275] [18:56:05.274] [DB-LOAD] Zone f4ed0093-18c1-fe0c-b7e4-0dc9ce4e0a17: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.278] [18:56:05.277] [DB-LOAD] Zone c52f27f2-825a-cee3-ff19-44780ebac505: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.281] [18:56:05.280] [DB-LOAD] Zone 1378ad10-a5fe-3cb4-029e-7d5431c7c070: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.284] [18:56:05.284] [DB-LOAD] Zone 2b0a9a91-cc45-1eba-dcc0-3fcfae0fb141: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.287] [18:56:05.287] [DB-LOAD] Zone e1a83202-1e53-54a2-6a55-847e611f1b80: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.291] [18:56:05.291] [DB-LOAD] Zone f0163710-c723-5aee-b215-a4c82836dce3: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.294] [18:56:05.294] [DB-LOAD] Zone 623b6fb2-4161-bb45-6106-61bcf6204c58: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.301] [18:56:05.300] [DB-LOAD] Zone 935ea122-7169-ac0b-1470-76f7a5e9d6d5: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.306] [18:56:05.305] [DB-LOAD] Zone 9f1747e9-810a-73b0-1926-eb581c142a2a: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.310] [18:56:05.309] [DB-LOAD] Zone 8616a0aa-a600-a464-3ebb-8cebd6f83b6a: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.314] [18:56:05.313] [DB-LOAD] Zone 8487ee2c-d3f2-23cf-75b8-f5527727ab3d: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.317] [18:56:05.316] [DB-LOAD] Zone 2632bbf0-c167-cc8c-b3e2-e941990e41de: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.321] [18:56:05.320] [DB-LOAD] Zone 55033bc9-ee4f-b7ba-ff0e-6c7a5b521493: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.325] [18:56:05.324] [DB-LOAD] Zone 7bf0a81d-7f23-7b16-d366-ab8b9a4b8c39: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.331] [18:56:05.331] [DB-LOAD] Zone df577d30-6424-a37a-4833-fe0825bb05bf: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.335] [18:56:05.334] [DB-LOAD] Zone a3145e45-b097-445f-2065-0863c3c137b6: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.340] [18:56:05.339] [DB-LOAD] Zone 3cec003b-2dd2-dfb1-a929-bba6b642b2e5: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.343] [18:56:05.342] [DB-LOAD] Zone 7a3fc1a5-750b-23ce-c189-6dcb53feaac0: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

[2026-01-08 18:56:05.348] [18:56:05.347] [DB-LOAD] Zone 33ae96d6-7dff-e1cc-48b0-2365508afaa6: Loaded MepElementLevelName='Level 0', MepElementLevelElevation=0.000000ft (0.0mm)

