[2025-12-31 17:27:45.511] === PLACEMENT PERFORMANCE MONITOR STARTED ===
Timestamp: 2025-12-31 17:27:45
Log File: NewSleevePlacer_2025-12-31_17-27-45.log
Start Memory: 154.16 MB


[2025-12-31 17:27:45.518] [17:27:45.517] Load Family Symbol: 2ms, Memory: 40.00 KB, Items: 1

[2025-12-31 17:27:45.547] [17:27:45.545] Parallel Sleeve Placement Planning: 25ms, Memory: 183.36 KB, Items: 21

[2025-12-31 17:27:45.582] [17:27:45.581] Calculate Sleeve Dimensions: 29ms, Memory: 208.05 KB, Items: 1

[2025-12-31 17:27:45.585] [17:27:45.584] Load Family Symbol: 0ms, Memory: 0.00 KB, Items: 0

[2025-12-31 17:27:45.591] [17:27:45.591] Adjust Placement Point: 3ms, Memory: 0.00 KB, Items: 1

[2025-12-31 17:27:45.653] [17:27:45.652] Place Sleeve Instance: 59ms, Memory: 0.00 KB, Items: 1

[2025-12-31 17:27:45.659] [17:27:45.658] Set Sleeve Parameters: 3ms, Memory: 32.00 KB, Items: 0

[2025-12-31 17:27:45.675] [17:27:45.674] Calculate Sleeve Dimensions: 5ms, Memory: 208.16 KB, Items: 1

[2025-12-31 17:27:45.678] [17:27:45.677] Load Family Symbol: 0ms, Memory: 0.00 KB, Items: 0

[2025-12-31 17:27:45.679] [17:27:45.679] Adjust Placement Point: 0ms, Memory: 0.00 KB, Items: 1

[2025-12-31 17:27:45.713] [17:27:45.713] Place Sleeve Instance: 31ms, Memory: 0.00 KB, Items: 1

[2025-12-31 17:27:45.718] [17:27:45.717] Set Sleeve Parameters: 2ms, Memory: 32.00 KB, Items: 0

[2025-12-31 17:27:45.731] [17:27:45.730] Calculate Sleeve Dimensions: 5ms, Memory: 208.16 KB, Items: 1

[2025-12-31 17:27:45.734] [17:27:45.733] Load Family Symbol: 0ms, Memory: 0.00 KB, Items: 0

[2025-12-31 17:27:45.735] [17:27:45.735] Adjust Placement Point: 0ms, Memory: 0.00 KB, Items: 1

[2025-12-31 17:27:45.762] [17:27:45.761] Place Sleeve Instance: 24ms, Memory: 0.00 KB, Items: 1

[2025-12-31 17:27:45.766] [17:27:45.766] Set Sleeve Parameters: 2ms, Memory: 40.00 KB, Items: 0

[2025-12-31 17:27:45.779] [17:27:45.778] Calculate Sleeve Dimensions: 5ms, Memory: 200.16 KB, Items: 1

[2025-12-31 17:27:45.781] [17:27:45.781] Load Family Symbol: 0ms, Memory: 0.00 KB, Items: 0

[2025-12-31 17:27:45.783] [17:27:45.782] Adjust Placement Point: 0ms, Memory: 0.00 KB, Items: 1

[2025-12-31 17:27:45.812] [17:27:45.811] Place Sleeve Instance: 25ms, Memory: 8.00 KB, Items: 1

[2025-12-31 17:27:45.817] [17:27:45.816] Set Sleeve Parameters: 2ms, Memory: 32.00 KB, Items: 0

[2025-12-31 17:27:45.829] [17:27:45.828] Calculate Sleeve Dimensions: 5ms, Memory: 208.16 KB, Items: 1

[2025-12-31 17:27:45.832] [17:27:45.831] Load Family Symbol: 0ms, Memory: 0.00 KB, Items: 0

[2025-12-31 17:27:45.833] [17:27:45.832] Adjust Placement Point: 0ms, Memory: 0.00 KB, Items: 1

[2025-12-31 17:27:45.867] [17:27:45.867] Place Sleeve Instance: 31ms, Memory: 0.00 KB, Items: 1

[2025-12-31 17:27:45.872] [17:27:45.871] Set Sleeve Parameters: 2ms, Memory: 32.00 KB, Items: 0

[2025-12-31 17:27:45.885] [17:27:45.885] Calculate Sleeve Dimensions: 5ms, Memory: 208.16 KB, Items: 1

[2025-12-31 17:27:45.888] [17:27:45.887] Load Family Symbol: 0ms, Memory: 0.00 KB, Items: 0

[2025-12-31 17:27:45.889] [17:27:45.889] Adjust Placement Point: 0ms, Memory: 0.00 KB, Items: 1

[2025-12-31 17:27:45.918] [17:27:45.916] Place Sleeve Instance: 25ms, Memory: 8.00 KB, Items: 1

[2025-12-31 17:27:45.922] [17:27:45.921] Set Sleeve Parameters: 2ms, Memory: 32.00 KB, Items: 0

[2025-12-31 17:27:45.935] [17:27:45.934] Calculate Sleeve Dimensions: 5ms, Memory: 208.16 KB, Items: 1

[2025-12-31 17:27:45.938] [17:27:45.937] Load Family Symbol: 0ms, Memory: 0.00 KB, Items: 0

[2025-12-31 17:27:45.938] [17:27:45.938] Adjust Placement Point: 0ms, Memory: 0.00 KB, Items: 1

[2025-12-31 17:27:45.967] [17:27:45.966] Place Sleeve Instance: 25ms, Memory: 0.00 KB, Items: 1

[2025-12-31 17:27:45.971] [17:27:45.971] Set Sleeve Parameters: 2ms, Memory: 32.00 KB, Items: 0

[2025-12-31 17:27:45.984] [17:27:45.984] Calculate Sleeve Dimensions: 5ms, Memory: 208.16 KB, Items: 1

[2025-12-31 17:27:45.987] [17:27:45.986] Load Family Symbol: 0ms, Memory: 0.00 KB, Items: 0

