[31-12-2025 17:27:22] [PLACEMENT-ELIGIBILITY] Total=110, IsResolved=0, IsClusterResolved=0, Eligible=110
  CZ 6e697f6d-042f-c458-485c-d3b176849c2e Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 47d9fa28-719b-21a9-bb06-e9459b8cacd6 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ c73b1e03-424a-1d03-03ea-54fff8d8d6bb Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 545fa43f-db32-ff05-3217-0551771aa8e6 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ a093ee53-789e-d4a6-5175-7f3c19ca3956 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 310c96e1-37a7-b1b0-fbe3-cc1af93d9dc2 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 73eafd01-ee23-84f5-84a3-8538fadb0119 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 402f84ba-eb31-39bb-8192-5460c70cbe28 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 3adac230-4b0a-d618-6924-c27ba75cf87f Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 82b7978e-651d-0526-7b27-25f3c47a895d Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ bbdcf9e8-a07f-7ef1-43bf-fa3633deca91 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 703e861d-e9f7-20a5-ea4f-8c3ed0869a15 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ eb1fe43d-562d-691a-8e67-c8e5b517162b Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 4821ce3e-ad21-f116-d8f0-d54ddcbe9b6e Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 30808e2b-18c0-40db-60c3-4208b93ac49e Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 5d5e61f6-9429-9187-dfac-6c0f72bd303d Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 4e2a2091-05c6-f6b9-a214-936c5b333b20 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 6c8919ef-e5a7-bb03-804e-7efc809efd31 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 7dcd5bef-fa66-176c-abae-26673f192191 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ cdb8dc03-52b7-9355-ea0e-a4c12099682e Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ db86329e-1010-2021-a4c3-2b9e3e98021a Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 8944f75d-3f46-c2a4-42f6-65cd7862a549 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 810e8a7d-9fd9-798d-b7e1-edd1358fafa0 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ babc5699-926a-92f4-e8fe-8bb653a8de79 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 32a329f1-d3c8-0cbf-b01b-f3ae940fafaf Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 3674d177-7325-2b17-7e42-c79460bffd18 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 5e86a332-2ae7-f6e0-bfe0-bc1d89575f68 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 57564c22-bbfc-e1e9-78b0-2607183b154e Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 9e6e1fba-0839-f4f5-b5fd-d7437141308d Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 048179e4-d918-5ee7-d67b-ecafc1ce9edf Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ f2188a17-644e-a203-c7df-5373b326f519 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ fbbd6b24-c2a8-5238-b66e-46b113ea4e0f Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 23970e7f-c4be-e0c0-13ca-aa5427283ab4 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ f1d50fa7-3af2-efcc-9ae4-c2e2a7fccc96 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ ac96472c-f698-973d-48d8-7c79fbbd60ba Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 87175218-6724-dba3-4843-c996d8e1cd70 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ b281b7b7-e160-dcdf-05e5-4822e1ecf8f7 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 88b61e64-aaf1-9ac8-21b3-88f0bb370dbe Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
  CZ 53dce294-1f4e-8973-5ec4-3f5dc078dc82 Flags: IsResolved=False, IsClusterResolved=False, SleeveId=-1, ClusterSleeveId=-1
